x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,block_entity_count
-4,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-3,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-2,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-1,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,0,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,1,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,2,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,3,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-3,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-2,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-1,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,0,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,1,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,2,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,3,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,4,26,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-4,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-3,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-2,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-1,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,0,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,1,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,2,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,3,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,4,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-4,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-3,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-2,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-1,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,0,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,1,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,2,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,3,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,4,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,5,27,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-4,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-3,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-2,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-1,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,0,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,1,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,2,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,3,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,4,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-4,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-3,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-2,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-1,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,0,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,1,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,2,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,3,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,4,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-6,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-5,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-3,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-2,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-1,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,0,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,1,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,2,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,3,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,5,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,6,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-6,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-5,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-3,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-2,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-1,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,0,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,1,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,2,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,3,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,5,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,6,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-7,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-6,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-5,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-4,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-3,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-2,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-1,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,0,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,1,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,2,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,3,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,4,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,5,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,6,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,7,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
7,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-7,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-6,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-5,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-4,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-3,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-2,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,-1,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,0,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,1,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,2,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,3,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,4,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,5,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,6,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,7,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
8,8,30,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-8,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-7,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-8,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-7,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-6,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-5,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-6,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-5,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-4,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-3,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-4,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-3,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-2,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,-1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-2,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-1,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
0,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
1,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,2,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,3,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
2,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
3,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,4,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,5,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
4,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
5,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,6,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
-9,7,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
6,-9,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0
